time,f0,loudness
0.0,0.0,3.03794295177795e-05
0.0029024943310657597,0.0,3.4059659810736775e-05
0.005804988662131519,0.0,3.746435322682373e-05
0.008707482993197279,0.0,3.990645564044826e-05
0.011609977324263039,0.0,4.22074954258278e-05
0.014512471655328799,0.0,4.237953180563636e-05
0.017414965986394557,0.0,4.291799268685281e-05
0.020317460317460317,0.0,4.271087527740747e-05
0.023219954648526078,0.0,4.18341405747924e-05
0.026122448979591838,0.0,4.270022691343911e-05
0.029024943310657598,0.0,4.508318306761794e-05
0.03192743764172336,0.0,4.606108632287942e-05
0.034829931972789115,0.0,4.725020698970184e-05
0.03773242630385488,0.0,4.715868999483064e-05
0.040634920634920635,0.0,4.708389678853564e-05
0.04353741496598639,0.0,4.747583807329647e-05
0.046439909297052155,0.0,4.83678377349861e-05
0.04934240362811791,0.0,4.708389678853564e-05
0.052244897959183675,0.0,4.429198816069402e-05
0.05514739229024943,0.0,4.334237382863648e-05
0.058049886621315196,0.0,4.219941547489725e-05
0.06095238095238095,0.0,4.201582123641856e-05
0.06385487528344672,0.0,4.188031380181201e-05
0.06675736961451247,0.0,4.334761979407631e-05
0.06965986394557823,0.0,4.416860974743031e-05
0.07256235827664399,0.0,4.402423292049207e-05
0.07546485260770976,0.0,4.517387060332112e-05
0.0783673469387755,0.0,4.568438453134149e-05
0.08126984126984127,0.0,4.597214865498245e-05
0.08417233560090703,0.0,4.69920523755718e-05
0.08707482993197278,0.0,4.731032095151022e-05
0.08997732426303855,0.0,4.566198185784742e-05
0.09287981859410431,0.0,4.492656444199383e-05
0.09578231292517007,0.0,4.6632627345388755e-05
0.09868480725623582,0.0,4.587064540828578e-05
0.10158730158730159,0.0,4.567442738334648e-05
0.10448979591836735,0.0,4.722373341792263e-05
0.1073922902494331,0.0,4.4842978240922093e-05
0.11029478458049886,0.0,4.4088745198678225e-05
0.11319727891156463,0.0,4.4325341150397435e-05
0.11609977324263039,0.0,4.306343907956034e-05
0.11900226757369614,0.0,4.215359149384312e-05
0.1219047619047619,0.0,4.106894266442396e-05
0.12480725623582767,0.0,4.028074545203708e-05
0.12770975056689343,0.0,3.961768015869893e-05
0.1306122448979592,0.0,4.1289804357802495e-05
0.13351473922902493,0.0,4.226671080687083e-05
0.1364172335600907,0.0,4.146838546148501e-05
0.13931972789115646,0.0,4.226402234053239e-05
0.14222222222222222,0.0,4.231509956298396e-05
0.14512471655328799,0.0,4.290209835744463e-05
0.14802721088435375,0.0,4.2606941860867664e-05
0.1509297052154195,0.0,4.096084012417123e-05
0.15383219954648525,0.0,4.0348426409764215e-05
0.156734693877551,0.0,4.069351780344732e-05
0.15963718820861678,0.0,4.0782819269225e-05
0.16253968253968254,0.0,4.079396967426874e-05
0.1654421768707483,0.0,3.949984966311604e-05
0.16834467120181407,0.0,4.0740986150922254e-05
0.17124716553287983,0.0,4.127603460801765e-05
0.17414965986394557,0.0,4.3050236854469404e-05
0.17705215419501133,0.0,4.409905886859633e-05
0.1799546485260771,0.0,4.362213076092303e-05
0.18285714285714286,0.0,4.4381733459886163e-05
0.18575963718820862,0.0,4.469060877454467e-05
0.18866213151927438,0.0,4.504786556935869e-05
0.19156462585034015,0.0,4.599934254656546e-05
0.19446712018140588,0.0,4.697269469033927e-05
0.19736961451247165,0.0,4.4774475099984556e-05
0.2002721088435374,0.0,4.471095235203393e-05
0.20317460317460317,0.0,4.394669667817652e-05
0.20607709750566894,0.0,4.407585220178589e-05
0.2089795918367347,0.0,4.446873936103657e-05
0.21188208616780047,0.0,4.502262163441628e-05
0.2147845804988662,0.0,4.2920641135424376e-05
0.21768707482993196,0.0,4.213470674585551e-05
0.22058956916099773,0.0,4.247867036610842e-05
0.2234920634920635,0.0,4.236074892105535e-05
0.22639455782312926,0.0,4.285702380002476e-05
0.22929705215419502,0.0,4.355170676717535e-05
0.23219954648526078,0.0,4.1558760131010786e-05
0.23510204081632652,0.0,4.266027463017963e-05
0.23800453514739228,0.0,4.366381108411588e-05
0.24090702947845805,0.0,4.407843152876012e-05
0.2438095238095238,0.0,4.550235826172866e-05
0.24671201814058957,0.0,4.5412325562210754e-05
0.24961451247165534,0.0,4.445339800440706e-05
0.2525170068027211,0.0,4.398806777317077e-05
0.25541950113378686,0.0,4.4865792006021366e-05
0.2583219954648526,0.0,4.395445648697205e-05
0.2612244897959184,0.0,4.434072980075143e-05
0.26412698412698415,0.0,4.38353163190186e-05
0.26702947845804986,0.0,4.3486397771630436e-05
0.2699319727891156,0.0,4.3163639929844067e-05
0.2728344671201814,0.0,4.441502096597105e-05
0.27573696145124715,0.0,4.4008738768752664e-05
0.2786394557823129,0.0,4.4088745198678225e-05
0.2815419501133787,0.0,4.402939885039814e-05
0.28444444444444444,0.0,4.263094888301566e-05
0.2873469387755102,0.0,4.223711584927514e-05
0.29024943310657597,0.0,4.1950832383008674e-05
0.29315192743764173,0.0,4.162162804277614e-05
0.2960544217687075,0.0,4.014221121906303e-05
0.29895691609977326,0.0,4.041880674776621e-05
0.301859410430839,0.0,3.9511360228061676e-05
0.3047619047619048,0.0,3.8841015339130536e-05
0.3076643990929705,0.0,3.914423723472282e-05
0.31056689342403626,0.0,3.9686488889856264e-05
0.313469387755102,0.0,4.0721446566749364e-05
0.3163718820861678,0.0,4.145467755733989e-05
0.31927437641723355,0.0,4.3163639929844067e-05
0.3221768707482993,0.0,4.262027869117446e-05
0.3250793650793651,0.0,4.4782093027606606e-05
0.32798185941043084,0.0,4.4593834900297225e-05
0.3308843537414966,0.0,4.585081114782952e-05
